brand,product_count,amazon_count,flipkart_count,platform_presence
XIAOMI FX,1,0,1,flipkart
Worricow,1,0,1,flipkart
Vu,1,1,0,amazon
URBANHUDA Premium,1,0,1,flipkart
UNDERATED Glow,1,0,1,flipkart
VEKIN Headphone,1,0,1,flipkart
VEKIN HIGH,1,0,1,flipkart
VIJAY EXPORT,1,0,1,flipkart
Vellora Creation,1,0,1,flipkart
Veloxi EXIM,1,0,1,flipkart
Vitamin C,1,1,0,amazon
Vrukie Aluminum,1,0,1,flipkart
Wireless Bluetooth,1,1,0,amazon
AMB Basin,1,0,1,flipkart
ACNE OC,1,0,1,flipkart
AKHAND ENTERPRISE,1,0,1,flipkart
Bekner,1,0,1,flipkart
Balaji flame,1,0,1,flipkart
BLACK+DECKER,1,1,0,amazon
BUFONA High,1,0,1,flipkart
Bush,1,0,1,flipkart
BrowseBook,1,1,0,amazon
Boat Bassheads,1,1,0,amazon
CEUTA Vegetable,1,0,1,flipkart
VW Nano,1,0,1,flipkart
Aric Chicken,1,0,1,flipkart
BELLAVITA DATE,1,0,1,flipkart
BIOTIQUE Morning,1,0,1,flipkart
boAt Bassheads,1,1,0,amazon
acerpure Nitro,1,0,1,flipkart
ABMP Honeycomb,1,0,1,flipkart
VSK,1,1,0,amazon
ZORIADA,1,0,1,flipkart
Zebronics Jet,1,1,0,amazon
ZEBRONICS Zeb-Storm,1,0,1,flipkart
ZIRAK Premium,1,0,1,flipkart
ZEBRONICS Zeb-Duke,1,0,1,flipkart
iFFALCON,1,0,1,flipkart
cotaryl Cream,1,0,1,flipkart
coocaa,1,1,0,amazon
