brand,mean_price,std_price,product_count,coefficient_of_variation
Uniboom_Optima Series,7590.0,2687.01,2,0.354
Unique Impex,690.0,0.0,1,0.0
Unix Wireless,823.0,0.0,1,0.0
VEDRID,273.0,0.0,1,0.0
VEKIN HIGH,486.0,0.0,1,0.0
VEKIN Headphone,486.0,0.0,1,0.0
VEWIKZY Face,152.0,0.0,1,0.0
VIJAY EXPORT,161.0,0.0,1,0.0
VSK,199.0,0.0,1,0.0
VW,13641.86,6233.47,7,0.457
VW Nano,21299.0,0.0,1,0.0
VW OptimaX,10849.0,3181.98,2,0.293
Vellora Creation,164.0,0.0,1,0.0
Veloxi EXIM,240.0,0.0,1,0.0
Vitamin C,299.0,0.0,1,0.0
Vrukie Aluminum,379.0,0.0,1,0.0
Vu,26490.0,0.0,1,0.0
Wireless Bluetooth,299.0,0.0,1,0.0
Worricow,464.0,0.0,1,0.0
XIAOMI,14499.0,707.11,2,0.049
XIAOMI FX,64999.0,0.0,1,0.0
Xiaomi,17832.33,7522.19,3,0.422
YAROH,466.0,0.0,1,0.0
YAROH Premium,461.0,0.0,1,0.0
Ying Guns,574.0,0.0,1,0.0
Youth Face,378.0,0.0,1,0.0
ZEBRONICS Bro,139.0,0.0,1,0.0
ZEBRONICS Thunder,837.5,86.97,2,0.104
ZEBRONICS Zeb-Duke,1199.0,0.0,1,0.0
ZEBRONICS Zeb-Storm,799.0,0.0,1,0.0
ZEBRONICS Zeb-Thunder,849.0,212.13,2,0.25
ZIRAK Premium,223.0,0.0,1,0.0
ZORIADA,180.0,0.0,1,0.0
Zebronics Jet,888.0,0.0,1,0.0
Zebronics Thunder,785.0,50.91,2,0.065
acerpure Nitro,22999.0,0.0,1,0.0
boAt Bassheads,899.0,0.0,1,0.0
boAt Rockerz,1622.75,564.12,8,0.348
chapo,140.5,24.75,2,0.176
chapo Full,87.0,0.0,1,0.0
coocaa,63999.0,0.0,1,0.0
cotaryl Cream,120.0,0.0,1,0.0
iFFALCON,19499.0,0.0,1,0.0
iQOO,28399.0,19488.46,5,0.686
kridhrish Metal,207.0,0.0,1,0.0
pTron Studio,723.0,104.65,2,0.145
ramakrishnavan Perfect,150.0,0.0,1,0.0
realme,15124.0,3461.52,8,0.229
realme NARZO,18165.67,6291.53,3,0.346
realme TechLife,16161.5,5711.59,4,0.353
realme narzo,15999.0,0.0,1,0.0
sandook Roasting,123.0,0.0,1,0.0
skinclinic STRETCH,360.0,0.0,1,0.0
truke Aura,1199.0,0.0,1,0.0
vivo,24099.0,1884.14,5,0.078
