brand,avg_price,min_price,max_price,product_count
Rosebee Collapsible,157.0,157.0,157.0,1
RoyEnterprise Kitchen,135.0,135.0,135.0,1
Ruby Perl,117.5,117.0,118.0,2
SANCORP,130.0,130.0,130.0,1
SONY,549.0,549.0,549.0,1
SPACE Vegetable,172.0,172.0,172.0,1
SRE Premium,98.0,92.0,104.0,2
Samsung,23980.67,12725.0,44990.0,6
Samsung Crystal,38240.0,31490.0,44990.0,2
Samsung Galaxy,13708.83,9999.0,23499.0,12
Samsung Vision,45990.0,45990.0,45990.0,1
Sansui,12190.0,11990.0,12390.0,2
ShopVee Air,120.0,120.0,120.0,1
Simple Hydrating,186.0,186.0,186.0,1
Simple Kind,334.0,334.0,334.0,1
Simple Water,317.0,317.0,317.0,1
Skinbless Cream,382.0,382.0,382.0,1
Skyplex Chopper,138.0,138.0,138.0,1
Sony,24238.25,549.0,82990.0,4
Sony ULT,14989.0,14989.0,14989.0,1
Sony ZX,899.0,899.0,899.0,1
Spigen Audio,2499.0,2499.0,2499.0,1
SpinBot,1894.0,1894.0,1894.0,1
SpinBot BattleBudz,980.0,980.0,980.0,1
TCL,26790.0,15390.0,34990.0,3
TCL TCL,15490.0,15490.0,15490.0,1
TTDC,426.0,426.0,426.0,1
Techobucks,591.0,591.0,591.0,1
Techobucks Brand,453.0,453.0,453.0,1
Techpunch,296.0,295.0,297.0,2
Techpunch COMFORTABLE,298.0,298.0,298.0,1
Tesla exim,268.0,268.0,268.0,1
Thomson,9899.0,9899.0,9899.0,1
Thomson Phoenix,10299.0,10299.0,10299.0,1
Treadmill SPORTS,297.0,297.0,297.0,1
Treadmill Sport,297.0,297.0,297.0,1
UNDERATED Glow,203.0,203.0,203.0,1
URBANHUDA Premium,380.0,380.0,380.0,1
Uniboom_Optima Series,7590.0,5690.0,9490.0,2
Unique Impex,690.0,690.0,690.0,1
Unix Wireless,823.0,823.0,823.0,1
VEDRID,273.0,273.0,273.0,1
VEKIN HIGH,486.0,486.0,486.0,1
VEKIN Headphone,486.0,486.0,486.0,1
VEWIKZY Face,152.0,152.0,152.0,1
VIJAY EXPORT,161.0,161.0,161.0,1
VSK,199.0,199.0,199.0,1
VW,13641.86,5799.0,24999.0,7
VW Nano,21299.0,21299.0,21299.0,1
VW OptimaX,10849.0,8599.0,13099.0,2
Vellora Creation,164.0,164.0,164.0,1
Veloxi EXIM,240.0,240.0,240.0,1
Vitamin C,299.0,299.0,299.0,1
Vrukie Aluminum,379.0,379.0,379.0,1
Vu,26490.0,26490.0,26490.0,1
Wireless Bluetooth,299.0,299.0,299.0,1
Worricow,464.0,464.0,464.0,1
XIAOMI,14499.0,13999.0,14999.0,2
XIAOMI FX,64999.0,64999.0,64999.0,1
Xiaomi,17832.33,12999.0,26499.0,3
YAROH,466.0,466.0,466.0,1
YAROH Premium,461.0,461.0,461.0,1
Ying Guns,574.0,574.0,574.0,1
Youth Face,378.0,378.0,378.0,1
ZEBRONICS Bro,139.0,139.0,139.0,1
ZEBRONICS Thunder,837.5,776.0,899.0,2
ZEBRONICS Zeb-Duke,1199.0,1199.0,1199.0,1
ZEBRONICS Zeb-Storm,799.0,799.0,799.0,1
ZEBRONICS Zeb-Thunder,849.0,699.0,999.0,2
ZIRAK Premium,223.0,223.0,223.0,1
ZORIADA,180.0,180.0,180.0,1
Zebronics Jet,888.0,888.0,888.0,1
Zebronics Thunder,785.0,749.0,821.0,2
acerpure Nitro,22999.0,22999.0,22999.0,1
boAt Bassheads,899.0,899.0,899.0,1
boAt Rockerz,1622.75,989.0,2799.0,8
chapo,140.5,123.0,158.0,2
chapo Full,87.0,87.0,87.0,1
coocaa,63999.0,63999.0,63999.0,1
